id,conversation_id,sender_id,content,is_read,created_at,attachment_paths,attachment_names
73330d13-a6f4-4e6c-967d-ffea0d97734c,f9d0fce8-33f4-4890-9de4-633c05241671,2aa4873a-8040-42fb-b2eb-1841554f89bd,Hi there! I saw your proposal for my request and would like to discuss the project details. Could we schedule a call to go over the requirements?,false,Thu Aug 14 2025 00:53:51 GMT+0000 (Coordinated Universal Time),,
3ec86fb5-1ced-42f0-804a-7f8a2fc21e51,f9d0fce8-33f4-4890-9de4-633c05241671,d9da0f88-c3e8-488f-bc4e-5c68f6a2ca01,"Thank you for reaching out! I would be happy to discuss your project. I have availability tomorrow afternoon or Friday morning. Based on your requirements, I can provide a detailed timeline and approach. When works best for you?",true,Thu Aug 14 2025 00:54:03 GMT+0000 (Coordinated Universal Time),,
8adcd85e-f72c-4f2c-a4b8-e7c53d1bd4a6,f9d0fce8-33f4-4890-9de4-633c05241671,f27f2cf2-5c76-4673-8fd3-50cd34ce2a71,Perfect! Friday morning works great for me. I can show you my portfolio of similar projects and discuss your specific requirements in detail. Looking forward to it!,true,Thu Aug 14 2025 00:54:58 GMT+0000 (Coordinated Universal Time),,
e1b66dc8-b43c-47de-89e4-8a8412cb04a8,f9d0fce8-33f4-4890-9de4-633c05241671,2aa4873a-8040-42fb-b2eb-1841554f89bd,Hi,false,Thu Aug 14 2025 06:52:19 GMT+0000 (Coordinated Universal Time),,
99f0e5cc-5ba1-4c9e-9a5a-b7ddc10344f2,f9d0fce8-33f4-4890-9de4-633c05241671,2aa4873a-8040-42fb-b2eb-1841554f89bd,Send notice,false,Thu Aug 14 2025 06:52:36 GMT+0000 (Coordinated Universal Time),,
e84e3c94-eb95-4f4c-92fd-f6f2691eed41,297d7e8a-d8f0-4ebb-9a22-d8aba55c0ca0,2aa4873a-8040-42fb-b2eb-1841554f89bd,Ajala o,false,Thu Aug 14 2025 06:52:48 GMT+0000 (Coordinated Universal Time),,
24b3b96f-8150-4402-8e13-0cd65a404673,297d7e8a-d8f0-4ebb-9a22-d8aba55c0ca0,2aa4873a-8040-42fb-b2eb-1841554f89bd,Hi,false,Thu Aug 14 2025 07:00:55 GMT+0000 (Coordinated Universal Time),,
eb1ae9ad-0362-45bc-84a0-d21119c1358d,297d7e8a-d8f0-4ebb-9a22-d8aba55c0ca0,2aa4873a-8040-42fb-b2eb-1841554f89bd,Hi,false,Thu Aug 14 2025 07:07:58 GMT+0000 (Coordinated Universal Time),,
db65c4be-551c-4b3a-80bf-f864a37e1fb2,297d7e8a-d8f0-4ebb-9a22-d8aba55c0ca0,2aa4873a-8040-42fb-b2eb-1841554f89bd,Temiooo,false,Thu Aug 14 2025 07:08:09 GMT+0000 (Coordinated Universal Time),,
1c5abc8b-2e9b-4311-a4af-13bf98eab7f6,f9d0fce8-33f4-4890-9de4-633c05241671,2aa4873a-8040-42fb-b2eb-1841554f89bd,I know,false,Thu Aug 14 2025 07:08:31 GMT+0000 (Coordinated Universal Time),,
a1551a99-6d08-4fa9-bd57-7825173eaf03,f9d0fce8-33f4-4890-9de4-633c05241671,2aa4873a-8040-42fb-b2eb-1841554f89bd,Hi,false,Thu Aug 14 2025 07:15:31 GMT+0000 (Coordinated Universal Time),,
3e94678b-c5ef-4603-a4df-ff3f9db159c7,f9d0fce8-33f4-4890-9de4-633c05241671,2aa4873a-8040-42fb-b2eb-1841554f89bd,Hi,false,Thu Aug 14 2025 07:21:59 GMT+0000 (Coordinated Universal Time),,
024d2ff3-2c96-4a12-9541-39e4140ae358,f9d0fce8-33f4-4890-9de4-633c05241671,2aa4873a-8040-42fb-b2eb-1841554f89bd,Hi,false,Thu Aug 14 2025 07:46:50 GMT+0000 (Coordinated Universal Time),,
2a038893-4b5a-45ca-95fe-bffa9b265ea9,f9d0fce8-33f4-4890-9de4-633c05241671,2aa4873a-8040-42fb-b2eb-1841554f89bd,See that image right?,false,Thu Aug 14 2025 10:17:06 GMT+0000 (Coordinated Universal Time),"[""/objects/uploads/9de11b11-5e90-450e-b7e6-5bbcfb56ed27""]","[""Screenshot_2025-08-14-09-35-20-044_com.android.chrome.jpg""]"
